intervalli,trapezi,simpson,gauss
4356,2.31538268071281851669510405993465495003221744828186e-05,1.49146774681564043357286257537664637091391603167071e-11,2.47538325523121738124280350114539491389270776136196e-23
4489,2.18021496265778534766768707307125254825939705823852e-05,1.32241279091257652488607506868744220835461930554665e-11,2.33087504780410741451487236793615158452418276945178e-23
4624,2.05476840694688035008697066741009805540277033319321e-05,1.17461154612941617866704163204644607444151847980771e-11,2.19675975877853786663881462134721139188370851258069e-23
4761,1.93821598508250749108341296610396333656253198037914e-05,1.04513631480450164614429089555736377844762888520684e-11,2.07215321058513441935633569919950606734098557984611e-23
4900,1.82981160305075922111590875502106424157847632925958e-05,9.31496943371704898210907542208620156206277430759563e-12,1.95625775276566246236048548528583049872603898715816e-23
5041,1.72888117467160314501169290289816555510065360019633e-05,8.3157045042440701683918683359614445582041808687253e-12,1.8483527184976210534616550646705931458907208675466e-23
5184,1.63481478746842570185442224983982724750465764211569e-05,7.43542752751851883355755391207809715006973434652676e-12,1.74778604912872241912879291416905196223034441702547e-23
5329,1.5470598144881026893660509433967761535675591377775e-05,6.65860278997189966441358589720055612408761059298062e-12,1.65396693002516045961668100534409106620582211081006e-23
5476,1.46511484684501048498924817742665421337632366659617e-05,5.97189687655219621494004150897185494105850247547046e-12,1.56635930385442230404304423970547125044830036552108e-23
5625,1.38852433975885686788577819293468738096912191808886e-05,5.36384246311471401328355517116619786125683662696299e-12,1.48447614666330580048507575695628461689231654309586e-23
5776,1.31687388006776551912228490115345455820103753353347e-05,4.82455700859326791005145760241816243995992726012885e-12,1.40787440837439165598892075353709872980410094984849e-23
5929,1.24978599608560217657627488534098229849752804126338e-05,4.34550681333659746330796274926341362696797945172316e-12,1.33615053310223404311645116749599319729661306376285e-23
6084,1.18691644161587839257262424185223806055354230151754e-05,3.9193086619039426024823185342744322276568628144937e-12,1.26893648639001301618558477975880706778118128986936e-23
6241,1.12795089524749690606931128651470297556256328629217e-05,3.53956268134572007505031667158018402125701696699669e-12,1.20589622642380146324672160384937659929400966187024e-23
6400,1.0726020240000283509547138789801092331990098541728e-05,3.2007111884160444892879243396324476824370007441658e-12,1.14672256477281389004511555447525013285821554068506e-23
6561,1.02060686717396937024374121456953742540132899071356e-05,2.89791922563624256101851366580366520893694952401579e-12,1.09113436946077342979883262224152328131626888806779e-23
6724,9.71724502074197273868835381624427650763730397359416e-06,2.62697323945254645734659184841657050624853387885629e-12,1.0388740693879408169873708666641370153996812017991e-23
6889,9.2573395826252553261060508421725979554941073987603e-06,2.38419496794938261744597171115695909427840204490178e-12,9.89705424455672220079028450965212391763078616772775e-24
7056,8.82432351283262575262190284026658446964198899256611e-06,2.16636810761214304309435068929828386012883063135658e-12,9.43411530329659862109748037423242743553760491950682e-24
7225,8.41633210499086073997727641739114804026877021546344e-06,1.97067574006117945324405040040851684744985781007133e-12,8.99793030726624617508216012081442112079783826066756e-24
7396,8.03164978861661268051299400979287574209642099355325e-06,1.79464683762484616036381511445861624270174070838598e-12,8.58666513516568957050922990380038634863931947987611e-24
